Unnamed: 0,m/z,Composition,Glycan Structure,Name,Glycoprofiles
90,1186,NeuAc(1)Hex(2)HexNAc(2)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_dgro_dgal_NON_x:x|1:a|2:keto|3:d
5s:n_acetyl
6b:b_dglc_HEX_x:x
7s:n_acetyl
8b:b_dgal_HEX_x:x
9b:a_lgal_HEX_x:x|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+2)4d
4:4d(5+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:8o(2+1)9d
",1186_3,"['P1TS', 'P1TI', 'P2TS', 'P4TS', 'P4TI', 'P6TA_FS', 'P6TA_FG', 'P6TA_AS', 'P6TA_AG', 'P8H', 'P9H', 'P10H']"
91,1186,NeuAc(1)Hex(2)HexNAc(2)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:b_dglc_HEX_x:x
6s:n_acetyl
7b:b_dgal_HEX_x:x
8b:a_dgro_dgal_NON_x:x|1:a|2:keto|3:d
9s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5d(2+1)6n
6:5o(4+1)7d
7:7o(3+2)8d
8:8d(5+1)9n
",1186_4,"['P1TS', 'P1TI', 'P4TS', 'P6TA_FS', 'P6TA_FG', 'P6TA_AS', 'P6TA_AG', 'P5TA_AS', 'P8H', 'P10H']"
92,1187,Hex(2)HexNAc(2)dHex(3),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:b_dglc_HEX_x:x
6b:x_lgal_HEX_x:x|6:d
7b:x_dgal_HEX_x:x
8b:a_lgal_HEX_x:x|6:d
9s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5o(_1+1)6d
6:5o(_1+1)7d
7:7o(2+1)8d
8:5d(2+1)9n
",1187,"['P6TA_FG', 'P7TA_AG']"
93,1203,Hex(3)HexNAc(2)dHex(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:b_dglc_HEX_x:x
5s:n_acetyl
6b:a_lgal_HEX_x:x|6:d
7b:b_dgal_HEX_x:x
8b:a_lgal_HEX_x:x|6:d
9b:a_dgal_HEX_x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(3+1)6d
6:4o(4+1)7d
7:7o(2+1)8d
8:7o(3+1)9d
",1203_1,"['P1TI', 'P5TA_AS', 'P10H']"
94,1203,Hex(3)HexNAc(2)dHex(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:a_dgal_HEX_x:x
6b:b_dglc_HEX_x:x
7s:n_acetyl
8b:a_lgal_HEX_x:x|6:d
9b:b_dgal_HEX_x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:3o(3+1)5d
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(3+1)8d
8:6o(4+1)9d
",1203_2,"['P1TS', 'P1TI', 'P6TA_FS', 'P5TA_AS', 'P7TA_AG', 'P8H', 'P9H', 'P10H']"
95,1203,Hex(3)HexNAc(2)dHex(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:x_dglc_HEX_x:x
5b:x_lgal_HEX_x:x|6:d
6b:x_dgal_HEX_x:x
7b:a_lgal_HEX_x:x|6:d
8b:a_dgal_HEX_x:x
9s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(_1+1)4d
4:4o(_1+1)5d
5:4o(_1+1)6d
6:6o(2+1)7d
7:6o(3+1)8d
8:4d(2+1)9n
",1203_3,"['P1TI', 'P5TA_AS', 'P10H']"
96,1203,Hex(3)HexNAc(2)dHex(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:a_dgal_HEX_x:x
6b:b_dglc_HEX_x:x
7s:n_acetyl
8b:b_dgal_HEX_x:x
9b:a_lgal_HEX_x:x|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:3o(3+1)5d
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:8o(2+1)9d
",1203_4,['P1TS']
97,1203,Hex(3)HexNAc(2)dHex(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:b_dglc_HEX_x:x
6s:n_acetyl
7b:b_dgal_HEX_x:x
8b:a_lgal_HEX_x:x|6:d
9b:a_dgal_HEX_x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5d(2+1)6n
6:5o(4+1)7d
7:7o(2+1)8d
8:7o(3+1)9d
",1203_5,"['P1TI', 'P4TI', 'P5TA_AS', 'P5TA_AG', 'P7TA_AG', 'P8H', 'P9H', 'P10H']"
98,1235,Hex(2)HexNAc(4)Sul(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:b_dglc_HEX_x:x
5s:n_acetyl
6b:b_dgal_HEX_x:x
7b:b_dglc_HEX_x:x
8s:n_acetyl
9b:b_dgal_HEX_x:x
10s:n_acetyl
11s:sulfate
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:1o(6+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
9:9d(2+1)10n
10:7o(6+1)11n
",1235_1,['P4TS']
99,1235,Hex(2)HexNAc(4)Sul(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dglc_HEX_x:x
4s:n_acetyl
5b:b_dglc_HEX_x:x
6s:n_acetyl
7b:b_dgal_HEX_x:x
8b:x_HEX_x:x
9s:n_acetyl
10s:sulfate
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
4:1o(6+1)5d
5:5d(2+1)6n
6:5o(4+1)7d
7:7o(_1+1)8d
8:8d(2+1)9n
9:5o(6+1)10n
",1235_2,['P4TS']
100,1243,NeuAc(1)Hex(2)HexNAc(3),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_dgro_dgal_NON_x:x|1:a|2:keto|3:d
5s:n_acetyl
6b:b_dglc_HEX_x:x
7s:n_acetyl
8b:b_dgal_HEX_x:x
9b:x_HEX_x:x
10s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+2)4d
4:4d(5+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:8o(4+1)9d
9:9d(2+1)10n
",1243_1,"['P1TS', 'P4TI', 'P6TA_FS', 'P6TA_FG', 'P6TA_AS', 'P6TA_AG', 'P5TA_AS', 'P8H', 'P9H', 'P10H']"
101,1243,NeuAc(1)Hex(2)HexNAc(3),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dglc_HEX_x:x
4s:n_acetyl
5b:b_dgal_HEX_x:x
6b:a_dgro_dgal_NON_x:x|1:a|2:keto|3:d
7s:n_acetyl
8b:b_dglc_HEX_x:x
9s:n_acetyl
10b:b_dgal_HEX_x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(3+2)6d
6:6d(5+1)7n
7:1o(6+1)8d
8:8d(2+1)9n
9:8o(4+1)10d
",1243_2,['P10H']
102,1244,Hex(2)HexNAc(3)dHex(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:b_dglc_HEX_x:x
5b:x_lgal_HEX_x:x|6:d
6b:x_dgal_HEX_x:x
7b:a_lgal_HEX_x:x|6:d
8b:a_dgal_HEX_x:x
9s:n_acetyl
10s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4o(_1+1)5d
5:4o(_1+1)6d
6:6o(2+1)7d
7:6o(3+1)8d
8:8d(2+1)9n
9:4d(2+1)10n
",1244_1,['P7TA_AG']
103,1244,Hex(2)HexNAc(3)dHex(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:x_dglc_HEX_x:x
5s:n_acetyl
6b:b_dgal_HEX_x:x
7b:a_lgal_HEX_x:x|6:d
8b:a_dgal_HEX_x:x
9s:n_acetyl
10b:a_lgal_HEX_x:x|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(_1+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(2+1)7d
7:6o(3+1)8d
8:8d(2+1)9n
9:3o(2+1)10d
",1244_2,['P7TA_AG']
104,1244,Hex(2)HexNAc(3)dHex(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:a_dgal_HEX_x:x
6s:n_acetyl
7b:b_dglc_HEX_x:x
8b:x_lgal_HEX_x:x|6:d
9b:x_dgal_HEX_x:x
10s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:3o(3+1)5d
5:5d(2+1)6n
6:1o(6+1)7d
7:7o(_1+1)8d
8:7o(_1+1)9d
9:7d(2+1)10n
",1244_3,['P7TA_AG']
105,1244,Hex(2)HexNAc(3)dHex(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:x_HEX_x:x
5s:n_acetyl
6b:b_dglc_HEX_x:x
7b:x_lgal_HEX_x:x|6:d
8b:x_dgal_HEX_x:x
9b:a_lgal_HEX_x:x|6:d
10s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(4+1)4d
4:4d(2+1)5n
5:1o(6+1)6d
6:6o(_1+1)7d
7:6o(_1+1)8d
8:8o(2+1)9d
9:6d(2+1)10n
",1244_4,['P7TA_AG']
106,1244,Hex(2)HexNAc(3)dHex(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:a_dgal_HEX_x:x
6s:n_acetyl
7b:b_dglc_HEX_x:x
8s:n_acetyl
9b:b_dgal_HEX_x:x
10b:a_lgal_HEX_x:x|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:3o(3+1)5d
5:5d(2+1)6n
6:1o(6+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
9:9o(2+1)10d
",1244_5,"['P1TI', 'P6TA_FS', 'P6TA_FG', 'P6TA_AS', 'P5TA_AS', 'P7TA_AG', 'P8H', 'P9H']"
107,1244,Hex(2)HexNAc(3)dHex(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:b_dglc_HEX_x:x
6s:n_acetyl
7b:b_dgal_HEX_x:x
8b:a_lgal_HEX_x:x|6:d
9b:a_dgal_HEX_x:x
10s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5d(2+1)6n
6:5o(4+1)7d
7:7o(2+1)8d
8:7o(3+1)9d
9:9d(2+1)10n
",1244_6,"['P1TS', 'P1TI', 'P2TS', 'P4TS', 'P4TI', 'P6TA_FS', 'P6TA_FG', 'P6TA_AS', 'P5TA_AS', 'P5TA_AG', 'P7TA_AG', 'P8H', 'P9H']"
108,1244,Hex(2)HexNAc(3)dHex(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:b_dglc_HEX_x:x
6s:n_acetyl
7b:b_dgal_HEX_x:x
8b:a_lgal_HEX_x:x|6:d
9b:a_dgal_HEX_x:x
10s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5d(2+1)6n
6:5o(3+1)7d
7:7o(2+1)8d
8:7o(3+1)9d
9:9d(2+1)10n
",1244_7,"['P6TA_FG', 'P6TA_AS', 'P6TA_AG']"
109,1260,Hex(3)HexNAc(3)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:x_dglc_HEX_x:x
5b:x_lgal_HEX_x:x|6:d
6b:x_dgal_HEX_x:x
7s:n_acetyl
8b:b_dglc_HEX_x:x
9s:n_acetyl
10b:b_dgal_HEX_x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(_1+1)4d
4:4o(_1+1)5d
5:4o(_1+1)6d
6:4d(2+1)7n
7:1o(6+1)8d
8:8d(2+1)9n
9:8o(4+1)10d
",1260_1,"['P1TS', 'P6TA_FS', 'P6TA_FG', 'P7TA_AG', 'P8H', 'P9H', 'P10H']"
110,1260,Hex(3)HexNAc(3)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:x_dglc_HEX_x:x
5b:x_lgal_HEX_x:x|6:d
6b:x_dgal_HEX_x:x
7s:n_acetyl
8b:b_dglc_HEX_x:x
9s:n_acetyl
10b:b_dgal_HEX_x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(_1+1)4d
4:4o(_1+1)5d
5:4o(_1+1)6d
6:4d(2+1)7n
7:1o(6+1)8d
8:8d(2+1)9n
9:8o(4+1)10d
",1260_2,"['P6TA_FS', 'P6TA_AG', 'P10H']"
111,1260,Hex(3)HexNAc(3)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:x_HEX_x:x
5s:n_acetyl
6b:b_dglc_HEX_x:x
7s:n_acetyl
8b:b_dgal_HEX_x:x
9b:a_lgal_HEX_x:x|6:d
10b:a_dgal_HEX_x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(4+1)4d
4:4d(2+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:8o(2+1)9d
9:8o(3+1)10d
",1260_3,['P5TA_AG']
112,1260,Hex(3)HexNAc(3)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:b_dglc_HEX_x:x
5s:n_acetyl
6b:b_dgal_HEX_x:x
7b:x_dglc_HEX_x:x
8b:x_lgal_HEX_x:x|6:d
9b:x_dgal_HEX_x:x
10s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(_1+1)7d
7:7o(_1+1)8d
8:7o(_1+1)9d
9:7d(2+1)10n
",1260_4,"['P4TS', 'P6TA_FG', 'P8H', 'P9H']"
113,1260,Hex(3)HexNAc(3)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:x_dglc_HEX_x:x
5b:x_dgal_HEX_x:x
6s:n_acetyl
7b:b_dglc_HEX_x:x
8s:n_acetyl
9b:b_dgal_HEX_x:x
10b:a_lgal_HEX_x:x|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(_1+1)4d
4:4o(_1+1)5d
5:4d(2+1)6n
6:1o(6+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
9:9o(2+1)10d
",1260_5,"['P1TS', 'P4TI', 'P8H']"
114,1260,Hex(3)HexNAc(3)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:b_dglc_HEX_x:x
5s:n_acetyl
6b:b_dgal_HEX_x:x
7b:x_dglc_HEX_x:x
8b:x_dgal_HEX_x:x
9b:a_lgal_HEX_x:x|6:d
10s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(_1+1)7d
7:7o(_1+1)8d
8:8o(2+1)9d
9:7d(2+1)10n
",1260_6,"['P1TS', 'P4TI', 'P6TA_FG']"
115,1260,Hex(3)HexNAc(3)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:b_dglc_HEX_x:x
5s:n_acetyl
6b:b_dgal_HEX_x:x
7b:b_dglc_HEX_x:x
8s:n_acetyl
9b:b_dgal_HEX_x:x
10b:a_lgal_HEX_x:x|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(3+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
9:9o(2+1)10d
",1260_7,['P1TS']
116,1301,Hex(2)HexNAc(4)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dglc_HEX_x:x
4b:x_lgal_HEX_x:x|6:d
5b:x_dgal_HEX_x:x
6s:n_acetyl
7b:b_dglc_HEX_x:x
8b:x_dgal_HEX_x:x
9b:x_HEX_x:x
10s:n_acetyl
11s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(_1+1)4d
4:3o(_1+1)5d
5:3d(2+1)6n
6:1o(6+1)7d
7:7o(_1+1)8d
8:8o(_1+1)9d
9:9d(2+1)10n
10:7d(2+1)11n
",1301_1,"['P3TS', 'P4TS']"
117,1301,Hex(2)HexNAc(4)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:x_HEX_x:x
5s:n_acetyl
6b:b_dglc_HEX_x:x
7s:n_acetyl
8b:b_dgal_HEX_x:x
9b:a_lgal_HEX_x:x|6:d
10b:a_dgal_HEX_x:x
11s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(_1+1)4d
4:4d(2+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:8o(2+1)9d
9:8o(3+1)10d
10:10d(2+1)11n
",1301_2,"['P4TI', 'P6TA_FG']"
118,1301,Hex(2)HexNAc(4)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:x_HEX_x:x
5s:n_acetyl
6b:b_dglc_HEX_x:x
7s:n_acetyl
8b:b_dgal_HEX_x:x
9b:a_lgal_HEX_x:x|6:d
10b:a_dgal_HEX_x:x
11s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(_1+1)4d
4:4d(2+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:8o(2+1)9d
9:8o(3+1)10d
10:10d(2+1)11n
",1301_3,"['P1TS', 'P1TI', 'P2TS', 'P4TS', 'P6TA_FS', 'P6TA_FG', 'P6TA_AS', 'P8H', 'P10H']"
119,1301,Hex(2)HexNAc(4)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:a_dgal_HEX_x:x
6s:n_acetyl
7b:b_dglc_HEX_x:x
8s:n_acetyl
9b:b_dgal_HEX_x:x
10b:x_HEX_x:x
11s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:3o(3+1)5d
5:5d(2+1)6n
6:1o(6+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
9:9o(_1+1)10d
10:10d(2+1)11n
",1301_4,"['P4TS', 'P4TI', 'P6TA_FG', 'P7TA_AG']"
120,1301,Hex(2)HexNAc(4)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:a_dgal_HEX_x:x
6s:n_acetyl
7b:b_dglc_HEX_x:x
8s:n_acetyl
9b:b_dgal_HEX_x:x
10b:x_HEX_x:x
11s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:3o(3+1)5d
5:5d(2+1)6n
6:1o(6+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
9:9o(_1+1)10d
10:10d(2+1)11n
",1301_5,['P6TA_FG']
121,1317,Hex(3)HexNAc(4),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:b_dglc_HEX_x:x
5s:n_acetyl
6b:b_dgal_HEX_x:x
7b:x_HEX_x:x
8s:n_acetyl
9b:b_dglc_HEX_x:x
10s:n_acetyl
11b:b_dgal_HEX_x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(_1+1)7d
7:7d(2+1)8n
8:1o(6+1)9d
9:9d(2+1)10n
10:9o(4+1)11d
",1317_1,"['P4TS', 'P6TA_FG', 'P5TA_AG', 'P7TA_AG', 'P9H']"
122,1317,Hex(3)HexNAc(4),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:b_dglc_HEX_x:x
5s:n_acetyl
6b:b_dgal_HEX_x:x
7b:b_dglc_HEX_x:x
8s:n_acetyl
9b:b_dgal_HEX_x:x
10b:x_HEX_x:x
11s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(3+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
9:9o(_1+1)10d
10:10d(2+1)11n
",1317_2,"['P4TS', 'P4TI', 'P6TA_FG', 'P6TA_AG', 'P5TA_AG']"
123,1317,Hex(3)HexNAc(4),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:b_dglc_HEX_x:x
5s:n_acetyl
6b:b_dgal_HEX_x:x
7b:b_dglc_HEX_x:x
8s:n_acetyl
9b:b_dglc_HEX_x:x
10s:n_acetyl
11b:b_dgal_HEX_x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:3o(6+1)7d
7:7d(2+1)8n
8:1o(6+1)9d
9:9d(2+1)10n
10:9o(4+1)11d
",1317_3,['P5TA_AG']
124,1317,Hex(3)HexNAc(4),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dglc_HEX_x:x
4b:x_dgal_HEX_x:x
5s:n_acetyl
6b:b_dglc_HEX_x:x
7b:x_dgal_HEX_x:x
8b:x_dglc_HEX_x:x
9b:x_dgal_HEX_x:x
10s:n_acetyl
11s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(_1+1)4d
4:3d(2+1)5n
5:1o(6+1)6d
6:6o(_1+1)7d
7:7o(_1+1)8d
8:8o(_1+1)9d
9:8d(2+1)10n
10:6d(2+1)11n
",1317_4,['P6TA_FS']
125,1331,NeuAc(2)Hex(2)HexNAc(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_dgro_dgal_NON_x:x|1:a|2:keto|3:d
5s:n_acetyl
6b:b_dglc_HEX_x:x
7s:n_acetyl
8b:b_dgal_HEX_x:x
9b:a_dgro_dgal_NON_x:x|1:a|2:keto|3:d
10s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+2)4d
4:4d(5+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:8o(3+2)9d
9:9d(5+1)10n
",1331,"['P1TS', 'P3TS', 'P2TS', 'P6TA_FS', 'P6TA_AS', 'P6TA_AG', 'P5TA_AS', 'P7TA_AS', 'P8H', 'P10H']"
126,1332,NeuAc(1)Hex(2)HexNAc(2)dHex(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:b_dglc_HEX_x:x
6b:x_lgal_HEX_x:x|6:d
7b:x_dgal_HEX_x:x
8b:a_dgro_dgal_NON_x:x|1:a|2:keto|3:d
9s:n_acetyl
10s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5o(_1+1)6d
6:5o(_1+1)7d
7:7o(3+2)8d
8:8d(5+1)9n
9:5d(2+1)10n
",1332_1,['P10H']
127,1332,NeuAc(1)Hex(2)HexNAc(2)dHex(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_dgro_dgal_NON_x:x|1:a|2:keto|3:d
5s:n_acetyl
6b:b_dglc_HEX_x:x
7b:x_lgal_HEX_x:x|6:d
8b:x_dgal_HEX_x:x
9b:a_lgal_HEX_x:x|6:d
10s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+2)4d
4:4d(5+1)5n
5:1o(6+1)6d
6:6o(_1+1)7d
7:6o(_1+1)8d
8:8o(2+1)9d
9:6d(2+1)10n
",1332_2,"['P1TS', 'P10H']"
128,1332,NeuAc(1)Hex(2)HexNAc(2)dHex(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:b_dglc_HEX_x:x
6b:x_lgal_HEX_x:x|6:d
7b:x_dgal_HEX_x:x
8b:a_dgro_dgal_NON_x:x|1:a|2:keto|3:d
9s:n_acetyl
10s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5o(_1+1)6d
6:5o(_1+1)7d
7:7o(3+2)8d
8:8d(5+1)9n
9:5d(2+1)10n
",1332_3,"['P1TS', 'P1TI', 'P4TS', 'P5TA_AS', 'P10H']"
129,1340,Hex(3)HexNAc(3)dHex(1)Sul(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:b_dglc_HEX_x:x
6s:n_acetyl
7b:b_dgal_HEX_x:x
8b:b_dglc_HEX_x:x
9s:n_acetyl
10b:b_dgal_HEX_x:x
11s:sulfate
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5d(2+1)6n
6:5o(4+1)7d
7:7o(3+1)8d
8:8d(2+1)9n
9:8o(4+1)10d
10:5o(6+1)11n
",1340_1,['P4TS']
130,1340,Hex(3)HexNAc(3)dHex(1)Sul(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:b_dglc_HEX_x:x
5s:n_acetyl
6b:b_dgal_HEX_x:x
7b:b_dglc_HEX_x:x
8s:n_acetyl
9b:b_dgal_HEX_x:x
10b:a_lgal_HEX_x:x|6:d
11s:sulfate
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(3+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
9:9o(2+1)10d
10:4o(6+1)11n
",1340_2,['P4TS']
